Item ID,Custom label,Product ID type,Product ID value,Product ID value 2,Quantity available,Purchases,Bids,Price,Start date,End date,Condition,Type,Item title,Category leaf name,Category number,Private notes,Site listed,Download date,Variation details,Product reference ID,Condition ID,OutOfStockControl
383683115897,ITEM00050,,,,2,3,,�5.39,19-Aug-20,,New,9,Bing?s Little Library Bing,Non-Fiction,171210,,3,29-Aug-20 01:32:32 BST,,213337237,1000,false
383685043277,ITEM00131,,,,2,0,,�10.48,20-Aug-20,,New,9,The Secret Diaries Of Miss Anne Lister: Vol. 1: I Know My Own Heart: The,Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,92945740,1000,false
383685043274,ITEM00143,,,,2,0,,�15.17,20-Aug-20,,New,9,Miguel Barclay's Super Easy One Pound Meals,Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,,1000,false
383685043275,ITEM00141,,,,2,0,,�14.87,20-Aug-20,,New,9,Medical Medium Celery Juice: The Most Powerful Medicine of Our Time Healing,Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,12032563984,1000,false
383685043276,ITEM00114,,,,2,0,,�5.96,20-Aug-20,,New,9,"The Skinny Soup Maker Recipe Book: Delicious Low Calorie, Healthy and Simple",Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,176796602,1000,false
383685043278,ITEM00105,,,,2,0,,�7.08,20-Aug-20,,New,9,The Smoothie Recipe Book: 150 Smoothie Recipes Including Smoothies for Weight,Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,176561907,1000,false
383685043279,ITEM00112,,,,2,0,,�26.24,20-Aug-20,,New,9,Gordon Ramsay Quick & Delicious: 100 recipes in 30 minutes or less,Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,,1000,false
383685043280,ITEM00181,,,,2,0,,�15.04,20-Aug-20,,New,9,The XX Brain: The Groundbreaking Science Empowering Women to Prevent Dementia,Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,,1000,false
383685043281,ITEM00130,,,,2,0,,�9.73,20-Aug-20,,New,9,"The Grain Brain Whole Life Plan: Boost Brain Performance, Lose Weight, and",Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,,1000,false
383685043282,ITEM00096,,,,2,0,,�4.94,20-Aug-20,,New,9,The Last Wish: Introducing the Witcher - Now a major Netflix show,Fiction,171228,,3,29-Aug-20 01:32:32 BST,,,1000,false
383685043283,ITEM00137,,,,2,0,,�21.59,20-Aug-20,,New,9,The Sourdough School: The Ground-Breaking Guide To Making Gut-Friendly Bread,Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,238537430,1000,false
383685043284,ITEM00188,,,,2,0,,�15.92,20-Aug-20,,New,9,Soft Tissue Release: A Practical Handbook for Physical Therapists,Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,114894460,1000,false
383685043285,ITEM00110,,,,2,0,,�18.00,20-Aug-20,,New,9,Rosa's Thai Cafe: The Cookbook,Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,212729108,1000,false
383685043286,ITEM00126,,,,2,0,,�15.16,20-Aug-20,,New,9,Becoming Bulletproof: Life Lessons from a Secret Service Agent,Fiction,171228,,3,29-Aug-20 01:32:32 BST,,,1000,false
383685043287,ITEM00150,,,,2,0,,�20.69,20-Aug-20,,New,9,"SELF BUILD MANUAL: How to Plan, Manage and Build the Home of Your Dreams Haynes",Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,209365665,1000,false
383685043288,ITEM00090,,,,2,1,,�4.59,20-Aug-20,,New,9,THE PRISON DOCTOR,Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,8033162704,1000,false
383685043289,ITEM00148,,,,2,0,,�18.88,20-Aug-20,,New,9,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking: The Four",Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,238747059,1000,false
383685043290,ITEM00115,,,,2,0,,�13.67,20-Aug-20,,New,9,The Keto All Day Cookbook: More Than 100 Low-Carb Recipes That Let You Stay,Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,6031187582,1000,false
383685043291,ITEM00169,,,,2,0,,�10.20,20-Aug-20,,New,9,The Way of Kings Part Two: The Stormlight Archive Book One: 1,Fiction,171228,,3,29-Aug-20 01:32:32 BST,,108434481,1000,false
383685043292,ITEM00122,,,,0,0,,�21.34,20-Aug-20,,New,9,"The Awakened Family: How to Raise Empowered, Resilient, and Conscious Children.",Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,,1000,false
383685043293,ITEM00177,,,,2,0,,�16.79,20-Aug-20,,New,9,"Brew it Yourself: Make Your Own Beer, Wine, Cider and Other Concoctions",Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,212721144,1000,false
383685043294,ITEM00097,,,,2,0,,�7.10,20-Aug-20,,New,9,The World's Fittest Book: The Sunday Times Bestseller from the Strongman Swimmer,Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,12033507180,1000,false
383685043295,ITEM00176,,,,2,0,,�12.90,20-Aug-20,,New,9,The Whole-Brain Child: 12 Proven Strategies to Nurture Your Child?s Developing,Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,114814934,1000,false
383685043297,ITEM00124,,,,2,0,,�5.41,20-Aug-20,,New,9,Still Me: Discover the love story that captured 21 million hearts,Fiction,171228,,3,29-Aug-20 01:32:32 BST,,16031183898,1000,false
383685043298,ITEM00144,,,,2,0,,�9.73,20-Aug-20,,New,9,Mindset - Updated Edition: Changing The Way You think To Fulfil Your Potential,Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,231215255,1000,false
383685043299,ITEM00170,,,,2,0,,�8.84,20-Aug-20,,New,9,Alien Next Door,Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,226030650,1000,false
383685043300,ITEM00191,,,,2,0,,�9.03,20-Aug-20,,New,9,"Life Leverage: How to Get More Done in Less Time, Outsource Everything & Create",Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,222347737,1000,false
